opp_id,title,content_type,framework,characters,language,persona,city,reach,shareability,save,comment,lead_gen,total,priority_score,hook_category,cta_category,status,gate
OPP-054,Rajesh ne Bandra buyer ko call kiya ya nahi ab pata chalega,CT-EDU,FW-MYTH,CH-TEAMLEAD,hi-dominant,Manager,Both,5,4,6,6,6,27,5.4,SALES,COMMENT,ok,D26
OPP-055,Fair lead distribution har agent ko barabar mauka,CT-EDU,FW-LEAD-LEAKAGE,CH-SALESMGR,en-leaning,Manager,Pune,6,4,5,6,6,27,5.4,TEAM-MANAGEMENT,DEMO,ok,D24
OPP-056,Micromanagement band karo data dekho,CT-EDU,FW-CRM,CH-OWNER,mr-dominant,Owner,Pune,4,3,8,7,4,26,5.0,CONTRARIAN,COMMENT,ok,D24
OPP-057,Ek agent gaya saara business gaya bachao kaise,CT-DRAMA,FW-DRAMA,CH-OWNER|CH-SALESMGR,mr-dominant,Owner,Both,8,7,6,9,5,35,6.8,FEAR,FOLLOW,ok,
OPP-058,Top agent nikla apne saare client le gaya,CT-DRAMA,FW-SKIT,CH-OWNER|CH-SALESMGR,en-leaning,Owner,Both,9,7,5,7,8,36,7.2,REVENUE,DEMO,ok,
OPP-059,Agent jaaye par leads agency ke paas rahein,CT-DRAMA,FW-DRAMA,CH-OWNER,mr-dominant,Owner,Both,8,6,4,7,4,29,5.7,TEAM-MANAGEMENT,COMMENT,ok,
OPP-060,Naya agent ne purane ka kaam seamlessly uthaya kyunki sab system mein,CT-DRAMA,FW-CONVO,CH-TEAMLEAD,hi-dominant,Manager,Pune,8,7,5,6,6,32,6.4,SALES,DEMO,blocked-prelaunch,D24
OPP-061,Relationships agent ke phone mein ya agency ke system mein,CT-DRAMA,FW-SKIT,CH-OWNER|CH-NEWBIE,mr-dominant,Owner,Both,9,9,5,6,3,32,6.2,FEAR,FOLLOW,ok,
OPP-062,Naya agent Day 1 vs Day 7 with RealEstateFlow,CT-DRAMA,FW-CONVO,CH-NEWBIE|CH-SALESMGR,mr-dominant,NewJoiner,Pune,9,7,7,6,5,34,6.8,CURIOSITY,FOLLOW,ok,D24
OPP-063,Naye agent ko kaunse leads milenge fair rule dikhao,CT-DRAMA,FW-DRAMA,CH-NEWBIE,mr-dominant,NewJoiner,Both,9,7,6,7,3,32,6.2,SALES,COMMENT,ok,
OPP-064,New joiner 30 min mein CRM seekh gaya WhatsApp jaisa,CT-DRAMA,FW-WHATSAPP-CHAOS,CH-NEWBIE|CH-LOSTLEAD,hi-dominant,NewJoiner,Pune,7,9,5,7,3,31,6.0,CRM,COMMENT,blocked-prelaunch,D24
OPP-065,Naya banda delete nahi kar sakta RBAC ka kamaal,CT-DRAMA,FW-WHATSAPP-CHAOS,CH-OWNER|CH-SALESMGR,mr-dominant,Owner,Both,9,7,4,6,4,30,5.9,FEAR,COMMENT,ok,
OPP-066,Rohan ka pehla din ghabrao mat sab simple hai,CT-DRAMA,FW-DRAMA,CH-NEWBIE|CH-TEAMLEAD,hi-dominant,NewJoiner,Both,9,7,5,4,7,32,6.5,UGC,DEMO,ok,
OPP-067,Team nahi seekhegi yeh dar galat hai 2 ghante training,CT-DRAMA,FW-CONVO,CH-OWNER|CH-SALESMGR,hi-dominant,Owner,Pune,7,5,6,7,3,28,5.4,OBJECTION,DEMO,ok,D24
OPP-068,Client bola 2BHK Andheri chahiye aap file dhoondh rahe,CT-DEMO,FW-CRM,CH-BROKER,hi-dominant,Broker,Both,5,3,7,5,7,27,5.5,PROPERTY-MANAGEMENT,TRIAL,ok,
OPP-069,Call pe property details missing deal bhi missing,CT-DEMO,FW-DEMO,CH-BROKER,mixed,Broker,Both,7,2,4,5,10,28,5.9,PROPERTY-MANAGEMENT,TRIAL,ok,
OPP-070,Property turant share karo deal fast karo demo,CT-DEMO,FW-AI,CH-CONSULTANT,hi-dominant,Broker,Pune,5,3,6,6,9,29,6.0,SALES,DEMO,ok,D24
OPP-071,Inventory ungliyon pe matching buyer ko instant,CT-DEMO,FW-AI,CH-CONSULTANT,hi-dominant,Broker,Both,3,5,5,3,8,24,5.0,CURIOSITY,TRIAL,ok,
OPP-072,Instagram pe dekhi property aap dhoondh nahi paye client gaya,CT-DEMO,FW-CRM,CH-CONSULTANT,hi-dominant,Broker,Mumbai,4,4,8,7,9,32,6.5,PROPERTY-MANAGEMENT,DEMO,ok,
OPP-073,Property add karo media upload map pin 20 sec demo,CT-DEMO,FW-AI,CH-CONSULTANT,mr-dominant,Broker,Pune,3,5,4,5,10,27,5.7,DEMO,DEMO,ok,D24
OPP-074,Client call aaye to saari history turant samne,CT-UGC,FW-OBJECTION,CH-CONSULTANT,mr-dominant,Broker,Pune,5,7,5,3,6,26,5.4,SALES,DEMO,ok,D24
OPP-075,Sneha ne client ki requirement ek jagah rakhi perfect match,CT-UGC,FW-UGC,CH-CONSULTANT,hi-dominant,Broker,Both,4,7,5,6,5,27,5.3,SOCIAL-PROOF,DM,blocked-prelaunch,
OPP-076,Client ko lagta hai aap sirf usi ke liye kaam kar rahe,CT-UGC,FW-UGC,CH-CONSULTANT,mixed,Broker,Both,5,7,4,5,5,26,5.2,CURIOSITY,DEMO,ok,
OPP-077,Buyer requirement capture karo galti se kuch miss na ho,CT-UGC,FW-PROPERTY,CH-CONSULTANT,hi-dominant,Broker,Both,5,8,6,7,6,32,6.4,PROPERTY-MANAGEMENT,DM,ok,
OPP-078,Andheri broker ne lead leakage near zero kiya 60 din mein,CT-PROOF,FW-CUSTOMER,CH-OWNER,mr-dominant,Owner,Both,3,7,6,5,10,31,6.5,SOCIAL-PROOF,DEMO,blocked-prelaunch,
OPP-079,Pune ki 15-agent agency ka before after,CT-PROOF,FW-AUTHORITY,CH-OWNER,hi-dominant,Owner,Pune,3,7,4,3,9,26,5.5,SOCIAL-PROOF,TRIAL,blocked-prelaunch,D24
OPP-080,Close rate 8 percent se 12 percent 2 mahine mein,CT-PROOF,FW-CUSTOMER,CH-OWNER,hi-dominant,Owner,Mumbai,4,6,6,3,9,28,5.9,REVENUE,TRIAL,blocked-prelaunch,
OPP-081,Mr aur Mrs Khan ka smooth deal testimonial,CT-PROOF,FW-CUSTOMER,CH-LOSTLEAD,hi-dominant,Buyer,Both,5,7,7,6,9,34,7.0,SOCIAL-PROOF,DEMO,blocked-prelaunch,
OPP-082,Agent bola broker dekh sakta hai maine 10 deals kiye no jhagda,CT-PROOF,FW-CUSTOMER,CH-CONSULTANT,mr-dominant,Broker,Both,4,6,5,4,9,28,5.8,SOCIAL-PROOF,DM,blocked-prelaunch,
OPP-083,12K month diya 25L recover kiya ab CRM free jaisa,CT-PROOF,FW-AUTHORITY,CH-OWNER,mr-dominant,Owner,Both,5,5,5,6,10,31,6.4,REVENUE,DEMO,blocked-prelaunch,
OPP-084,Shuruaati members ke liye RealEstateFlow live hai,CT-PROOF,FW-AUTHORITY,CH-OWNER,en-leaning,Owner,Both,5,4,5,3,8,25,5.2,SOCIAL-PROOF,DEMO,blocked-prelaunch,
OPP-085,Salesforce se switch kiya finally India ke liye bana CRM,CT-PROOF,FW-AUTHORITY,CH-OWNER,en-leaning,Owner,Both,2,6,6,4,7,25,5.2,SOCIAL-PROOF,DEMO,blocked-prelaunch,
OPP-086,Ek cheez jo har agency ka follow-up theek kar deti hai,CT-FOUNDER,FW-FOUNDER,CH-PRESENTER,hi-dominant,Owner,Both,7,6,4,7,6,30,6.0,CURIOSITY,COMMUNITY,blocked-founder-oncamera,
OPP-087,Kyun banaya RealEstateFlow founder ki kahani,CT-FOUNDER,FW-AUTHORITY,CH-PRESENTER,en-leaning,Owner,Both,8,6,5,10,3,32,6.1,REAL-ESTATE,COMMENT,blocked-founder-oncamera,
OPP-088,Indian brokers ko US CRM nahi chahiye desi chahiye,CT-FOUNDER,FW-FOUNDER,CH-PRESENTER,mr-dominant,Owner,Both,9,7,6,8,6,36,7.1,CONTRARIAN,FOLLOW,blocked-founder-oncamera,
OPP-089,Launch day RealEstateFlow ab live hai dekho,CT-FOUNDER,FW-FOUNDER,CH-PRESENTER,en-leaning,Owner,Both,10,8,5,8,5,36,7.0,REAL-ESTATE,FOLLOW,blocked-founder-oncamera,
OPP-090,Mera broker dost ne 20L ka deal khoya tab idea aaya,CT-FOUNDER,FW-AUTHORITY,CH-PRESENTER,hi-dominant,Owner,Mumbai,7,5,4,10,7,33,6.5,FOUNDER,COMMUNITY,blocked-founder-oncamera,
OPP-091,CRM matlab Excel nahi yeh 3 cheez karta hai,CT-EDU,FW-LEAD-LEAKAGE,CH-OWNER,mixed,Owner,Pune,5,7,10,7,5,34,6.7,CRM,COMMENT,ok,D24
OPP-092,CRM sirf badi companies ke liye Myth bust,CT-EDU,FW-MISTAKE,CH-OWNER,en-leaning,Owner,Both,6,5,9,6,5,31,6.2,CONTRARIAN,SAVE,ok,
OPP-093,CRM mahanga? {{entry_price}} se shuru - ek bacha hua lead hi kaafi,CT-EDU,FW-CRM,CH-OWNER,en-leaning,Owner,Both,6,5,7,5,6,29,5.9,SALES,DEMO,retitled,
OPP-094,Maine pehle CRM try kiya tha nahi chala kyun different,CT-EDU,FW-LEAD-LEAKAGE,CH-OWNER,mr-dominant,Owner,Both,5,6,8,4,3,26,5.2,OBJECTION,SAVE,ok,
OPP-095,Data secure hai kya AWS backed sleep peacefully,CT-EDU,FW-CRM,CH-OWNER,mixed,Owner,Mumbai,5,5,8,5,3,26,5.1,OBJECTION,SAVE,ok,
OPP-096,Cancel kiya to data chala jaayega Nahi export anytime,CT-EDU,FW-MYTH,CH-OWNER,mr-dominant,Owner,Both,4,4,6,5,6,25,5.1,OBJECTION,DEMO,ok,
OPP-097,Process badalna padega Nahi tumhara process import karo,CT-EDU,FW-LEAD-LEAKAGE,CH-OWNER,hi-dominant,Owner,Mumbai,4,5,7,5,5,26,5.2,OBJECTION,COMMENT,ok,
OPP-098,Tum broke nahi ho tum bleeding ho roz 50K leak,CT-EDU,FW-MYTH,CH-OWNER,hi-dominant,Owner,Mumbai,7,5,8,9,6,35,6.8,CONTRARIAN,SAVE,review-number,
OPP-099,Maharashtra RERA agent rule badla 60 sec mein samjho,CT-NEWS,FW-CRM,CH-OWNER,mixed,Owner,Both,5,5,10,7,4,31,6.0,NEWS,SAVE,ok,
OPP-100,RERA number har listing pe trust signal,CT-NEWS,FW-CRM,CH-OWNER,mr-dominant,Owner,Pune,7,7,8,6,4,32,6.3,REAL-ESTATE,FOLLOW,ok,D24
OPP-101,Ready reckoner rate badha brokers ke liye matlab,CT-NEWS,FW-CONTRARIAN,CH-OWNER,en-leaning,Owner,Both,7,6,7,9,4,33,6.4,NEWS,COMMENT,ok,
OPP-102,Carpet vs built-up loading samjhao client ko,CT-NEWS,FW-CONTRARIAN,CH-BROKER,mixed,Broker,Both,7,4,7,7,6,31,6.2,REAL-ESTATE,COMMENT,ok,
OPP-103,Portal listing rate hike MagicBricks 99acres ab kya,CT-NEWS,FW-CONTRARIAN,CH-OWNER,en-leaning,Owner,Pune,4,4,5,8,4,25,4.8,NEWS,COMMENT,ok,D24
OPP-104,MagicBricks lead 2 ghante baad call buyer already deal,CT-EDU,FW-MISTAKE,CH-BROKER,mr-dominant,Broker,Pune,7,4,6,3,8,28,5.9,LEAD-MANAGEMENT,DEMO,ok,D24
OPP-105,All portals one inbox MagicBricks Housing 99acres,CT-EDU,FW-MISTAKE,CH-OWNER,en-leaning,Owner,Mumbai,4,3,8,7,9,31,6.3,LEAD-MANAGEMENT,DEMO,blocked-feature,
OPP-106,Facebook ad 5000 spend kitna convert ho raha,CT-EDU,FW-LEAD-LEAKAGE,CH-OWNER,hi-dominant,Owner,Pune,5,6,8,6,8,33,6.7,REVENUE,DEMO,ok,D24
OPP-107,FB pe 20 comment 3 ko call kiya 17 ignore ek buyer tha,CT-EDU,FW-MYTH,CH-CONSULTANT,mixed,Broker,Both,9,5,7,5,6,32,6.5,LEAD-MANAGEMENT,DEMO,ok,D26
OPP-108,Google Ads 50K spend 100 lead 10 convert ho sakte the 50,CT-EDU,FW-MISTAKE,CH-OWNER,en-leaning,Owner,Both,5,6,8,5,9,33,6.8,REVENUE,DEMO,review-number,
OPP-109,Referral best lead par tumne follow-up nahi kiya,CT-EDU,FW-LEAD-LEAKAGE,CH-CONSULTANT,mr-dominant,Broker,Both,6,6,8,6,5,31,6.2,SALES,COMMENT,ok,
OPP-110,Referral source track kiya top agent 40 referral nikla,CT-EDU,FW-MYTH,CH-OWNER,en-leaning,Owner,Mumbai,6,3,5,6,5,25,5.0,SOCIAL-PROOF,DEMO,blocked-prelaunch,
OPP-111,Portal lead auto sync 15 min response 4x close,CT-EDU,FW-MYTH,CH-OWNER,mr-dominant,Owner,Pune,4,3,6,3,9,25,5.3,LEAD-MANAGEMENT,DEMO,blocked-feature,D24
OPP-112,Mumbai broker vs Pune broker ka kaam karne ka tareeka,CT-DRAMA,FW-DRAMA,CH-CONSULTANT|CH-TEAMLEAD,mr-dominant,Broker,Pune,9,8,6,7,3,33,6.4,REAL-ESTATE,FOLLOW,ok,D24
OPP-113,Pune cha broker ata Pune chi technology RealEstateFlow,CT-DRAMA,FW-DRAMA,CH-CONSULTANT,mr-dominant,Broker,Pune,7,10,5,6,5,33,6.6,REAL-ESTATE,FOLLOW,ok,D24
OPP-114,Mumbai status Pune growth dono ko ek CRM,CT-DRAMA,FW-SKIT,CH-OWNER|CH-NEWBIE,en-leaning,Owner,Mumbai,9,6,6,8,5,34,6.7,CONTRARIAN,FOLLOW,ok,
OPP-115,South Mumbai luxury broker bhi system chahiye,CT-DRAMA,FW-DRAMA,CH-BROKER,en-leaning,Broker,Mumbai,6,5,6,8,6,31,6.1,REAL-ESTATE,DEMO,ok,
OPP-116,Kothrud IT crowd ko property bechna tech-savvy approach,CT-DRAMA,FW-CONVO,CH-BROKER,hi-dominant,Broker,Pune,6,9,7,6,4,32,6.3,REAL-ESTATE,DEMO,ok,D24
OPP-117,RealEstateFlow vs generic CRM India ke liye bana,CT-AUTHORITY,FW-CRM,CH-OWNER,hi-dominant,Owner,Mumbai,4,6,10,8,8,36,7.2,CONTRARIAN,COMMUNITY,ok,
OPP-118,Zoho Salesforce ke saamne desi CRM ka faayda,CT-AUTHORITY,FW-CRM,CH-OWNER,mixed,Owner,Pune,3,6,8,8,4,29,5.6,CRM,FOLLOW,ok,D24
OPP-119,Competitor spreadsheet pe aap system pe deal jeet gaye,CT-AUTHORITY,FW-MYTH,CH-OWNER,hi-dominant,Owner,Mumbai,4,6,6,6,6,28,5.6,SOCIAL-PROOF,FOLLOW,ok,
OPP-120,Portal dependency chhodo apna lead engine banao,CT-AUTHORITY,FW-CONTRARIAN,CH-OWNER,en-leaning,Owner,Mumbai,2,3,10,6,4,25,4.9,CONTRARIAN,SAVE,ok,
OPP-121,Gudi Padwa naya saal nayi deals shubhechha,CT-NEWS,FW-CONTRARIAN,CH-OWNER,mr-dominant,Owner,Pune,6,7,6,7,4,30,5.9,REAL-ESTATE,COMMENT,ok,D24
OPP-122,Diwali booking season leads ka rush handle karo,CT-NEWS,FW-NEWS,CH-OWNER,hi-dominant,Owner,Both,10,5,7,7,6,35,7.0,REAL-ESTATE,COMMENT,ok,
OPP-123,Akshaya Tritiya property muhurat leads double,CT-NEWS,FW-CONTRARIAN,CH-OWNER,mr-dominant,Owner,Both,7,6,6,5,5,29,5.8,REAL-ESTATE,COMMENT,ok,
OPP-124,Festival season 3x leads system ready hai kya,CT-NEWS,FW-NEWS,CH-OWNER,hi-dominant,Owner,Both,5,4,5,6,7,27,5.4,CURIOSITY,FOLLOW,review-number,
OPP-125,Year end push December targets dashboard se,CT-NEWS,FW-NEWS,CH-TEAMLEAD,mixed,Manager,Mumbai,6,7,8,5,4,30,6.0,REAL-ESTATE,FOLLOW,ok,
OPP-126,Dashboard ek click office ka poora hisaab,CT-DEMO,FW-AI,CH-OWNER,en-leaning,Owner,Both,6,3,5,6,9,29,6.0,DEMO,DEMO,ok,
OPP-127,Lead assign drag drop 3 sec demo,CT-DEMO,FW-DEMO,CH-TEAMLEAD,hi-dominant,Manager,Both,3,3,6,5,10,27,5.7,DEMO,DEMO,ok,
OPP-128,Speech to text se lead note bolo type mat karo,CT-DEMO,FW-AI,CH-CONSULTANT,mixed,Broker,Mumbai,4,3,6,6,10,29,6.0,DEMO,DEMO,ok,
